clase,syn
http://purl.obolibrary.org/obo/DOID_75,trastorno de los vasos y ganglios linfáticos
http://purl.obolibrary.org/obo/DOID_75,trastorno del sistema linfático
http://purl.obolibrary.org/obo/DOID_75,trastorno del sistema linfoide
http://purl.obolibrary.org/obo/DOID_75,trastorno linfático
http://purl.obolibrary.org/obo/DOID_75,enfermedad del sistema linfoide
http://purl.obolibrary.org/obo/DOID_0050125,SSD
http://purl.obolibrary.org/obo/DOID_12205,fiebre del dengue
http://purl.obolibrary.org/obo/DOID_12205,fiebre rompehuesos
http://purl.obolibrary.org/obo/DOID_12205,dengue clásico
http://purl.obolibrary.org/obo/DOID_12205,dengue clásico
http://purl.obolibrary.org/obo/DOID_1352,trastorno de los senos nasales
http://purl.obolibrary.org/obo/DOID_13250,diarrea de presunto origen infeccioso
http://purl.obolibrary.org/obo/DOID_13250,diarrea
http://purl.obolibrary.org/obo/DOID_0050133,infección por tiña modificada por esteroides
http://purl.obolibrary.org/obo/DOID_0050133,piedra
http://purl.obolibrary.org/obo/DOID_1564,micosis
http://purl.obolibrary.org/obo/DOID_1564,micosis
http://purl.obolibrary.org/obo/DOID_11976,intoxicación botulínica
http://purl.obolibrary.org/obo/DOID_11976,intoxicación alimentaria por Clostridium botulinum
http://purl.obolibrary.org/obo/DOID_11976,botulismo de transmisión alimentaria
http://purl.obolibrary.org/obo/DOID_11976,infección por Clostridium botulinum
http://purl.obolibrary.org/obo/DOID_11976,intoxicación por toxina de Clostridium botulinum
http://purl.obolibrary.org/obo/DOID_0050144,síndrome de Kartagener
http://purl.obolibrary.org/obo/DOID_9562,trastorno de la motilidad ciliar
http://purl.obolibrary.org/obo/DOID_9562,síndrome de inmovilidad ciliar
http://purl.obolibrary.org/obo/DOID_0050145,adenoiditis crónica
http://purl.obolibrary.org/obo/DOID_0050147,oído de Singapur
http://purl.obolibrary.org/obo/DOID_9463,oído de nadador
http://purl.obolibrary.org/obo/DOID_10458,infección por Legionella
http://purl.obolibrary.org/obo/DOID_0050156,displasia pulmonar fibroquística
http://purl.obolibrary.org/obo/DOID_0050156,fibrosis pulmonar idiopática familiar
http://purl.obolibrary.org/obo/DOID_0050156,alveolitis fibrosante criptogénica
http://purl.obolibrary.org/obo/DOID_3770,fibrosis de pulmón
http://purl.obolibrary.org/obo/DOID_0050157,BONO
http://purl.obolibrary.org/obo/DOID_0050157,neumonitis organizada criptogénica
http://purl.obolibrary.org/obo/DOID_0050157,neumonitis organizada criptogénica
http://purl.obolibrary.org/obo/DOID_0050157,bronquiolitis obliterante con neumonía organizada
http://purl.obolibrary.org/obo/DOID_0050157,bronquiolitis obliterante con neumonía organizada
http://purl.obolibrary.org/obo/DOID_0050157,neumonía organizada criptogénica
http://purl.obolibrary.org/obo/DOID_0050157,bronquiolitis obliterante idiopática con neumonía organizada
http://purl.obolibrary.org/obo/DOID_0050157,bronquiolitis obliterante idiopática con neumonía organizada
http://purl.obolibrary.org/obo/DOID_2797,fibrosis pulmonar idiopática difusa
http://purl.obolibrary.org/obo/DOID_2797,alveolitis fibrosante idiopática
http://purl.obolibrary.org/obo/DOID_2797,FPI
http://purl.obolibrary.org/obo/DOID_0050158,BREPI
http://purl.obolibrary.org/obo/DOID_0050158,neumonitis intersticial descamativa familiar
http://purl.obolibrary.org/obo/DOID_0050158,bronquiolitis respiratoria asociada a enfermedad pulmonar intersticial
http://purl.obolibrary.org/obo/DOID_0050160,ántrax pulmonar
http://purl.obolibrary.org/obo/DOID_0050160,ántrax respiratorio
http://purl.obolibrary.org/obo/DOID_0050160,enfermedad de los cardadores de lana
http://purl.obolibrary.org/obo/DOID_0050160,enfermedad de los cardadores de lana
http://purl.obolibrary.org/obo/DOID_2149,tuberculosis genitourinaria
http://purl.obolibrary.org/obo/DOID_0050167,síndrome poliglandular autoinmune tipo I
http://purl.obolibrary.org/obo/DOID_0050167,síndrome de Whitaker
http://purl.obolibrary.org/obo/DOID_0050167,poliendocrinopatía autoinmune con candidiasis y distrofia ectodérmica
http://purl.obolibrary.org/obo/DOID_14040,insuficiencia poliglandular autoinmune
http://purl.obolibrary.org/obo/DOID_14040,síndrome de Lloyd
http://purl.obolibrary.org/obo/DOID_14040,poliendocrinopatía autoinmune
http://purl.obolibrary.org/obo/DOID_0050168,síndrome de Schmidt
http://purl.obolibrary.org/obo/DOID_2365,fiebre del Nilo Occidental con encefalitis
http://purl.obolibrary.org/obo/DOID_2365,encefalitis por fiebre del Nilo Occidental
http://purl.obolibrary.org/obo/DOID_0050175,encefalitis centroeuropea
http://purl.obolibrary.org/obo/DOID_0050175,ETG del Lejano Oriente
http://purl.obolibrary.org/obo/DOID_0050175,encefalitis primavero-estival de Rusia
http://purl.obolibrary.org/obo/DOID_0050175,encefalitis transmitida por garrapatas de Siberia
http://purl.obolibrary.org/obo/DOID_0050175,encefalitis por taiga
http://purl.obolibrary.org/obo/DOID_0050175,encefalitis transmitida por garrapatas de Europa occidental
http://purl.obolibrary.org/obo/DOID_0050175,encefalitis siberiana occidental
http://purl.obolibrary.org/obo/DOID_1205,enfermedad por hipersensibilidad alérgica
http://purl.obolibrary.org/obo/DOID_1205,hipersensibilidad
http://purl.obolibrary.org/obo/DOID_1205,enfermedad por reacción de hipersensibilidad tipo I
http://purl.obolibrary.org/obo/DOID_1884,hepatitis viral con coma hepático
http://purl.obolibrary.org/obo/DOID_1884,hepatitis viral animal
http://purl.obolibrary.org/obo/DOID_1884,hepatitis viral humana
http://purl.obolibrary.org/obo/DOID_2938,Infección por el VEB
http://purl.obolibrary.org/obo/DOID_2938,Infección por el virus de Epstein-Barr
http://purl.obolibrary.org/obo/DOID_8469,influenza con otras manifestaciones
http://purl.obolibrary.org/obo/DOID_8469,gripe
http://purl.obolibrary.org/obo/DOID_8469,influenza con manifestación no respiratoria
http://purl.obolibrary.org/obo/DOID_0050214,síndrome de Eaton-Lambert
http://purl.obolibrary.org/obo/DOID_0050214,SMEL
http://purl.obolibrary.org/obo/DOID_0050214,síndrome de Lambert-Eaton
http://purl.obolibrary.org/obo/DOID_0050218,enfermedad hidatídica poliquística humana
http://purl.obolibrary.org/obo/DOID_0050218,equinococosis neotropical
