source_id,predicate_id,source_text,source_lang,target_lang,target_text,tsg_set
DOID:0112127,rdfs:label,HRPT-related hyperuricemia,en,es,hiperuricemia relacionada con HRPT,1
DOID:0112137,rdfs:label,combined oxidative phosphorylation deficiency 51,en,es,deficiencia combinada de la fosforilación oxidativa 51,1
DOID:0112138,rdfs:label,primary coenzyme Q10 deficiency 9,en,es,deficiencia primaria de coenzima Q10 9,1
DOID:0112139,rdfs:label,nuclear type mitochondrial complex I deficiency 35,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 35,1
DOID:0112140,rdfs:label,retinitis pigmentosa 83,en,es,retinosis pigmentaria 83,1
DOID:0112141,rdfs:label,retinitis pigmentosa 84,en,es,retinosis pigmentaria 84,1
DOID:0112142,rdfs:label,retinitis pigmentosa 85,en,es,retinosis pigmentaria 85,1
DOID:0112143,rdfs:label,retinitis pigmentosa 86,en,es,retinosis pigmentaria 86,1
DOID:0112144,rdfs:label,retinitis pigmentosa 87,en,es,retinosis pigmentaria 87,1
DOID:0112145,rdfs:label,retinitis pigmentosa 88,en,es,retinosis pigmentaria 88,1
DOID:0112146,rdfs:label,retinitis pigmentosa 89,en,es,retinosis pigmentaria 89,1
DOID:0112147,rdfs:label,retinitis pigmentosa 90,en,es,retinosis pigmentaria 90,1
DOID:0112148,rdfs:label,Uruguay faciocardiomusculoskeletal syndrome,en,es,síndrome faciocardiomusculoesquelético uruguayo,1
DOID:0112149,rdfs:label,terminal osseous dysplasia,en,es,displasia ósea terminal,1
DOID:0112150,rdfs:label,X-linked spondyloepimetaphyseal dysplasia,en,es,displasia espondiloepimetafisaria ligada al cromosoma X,1
DOID:0112151,rdfs:label,corpus callosum agenesis-abnormal genitalia syndrome,en,es,síndrome de agenesia del cuerpo calloso-genitales anormales,1
DOID:0112152,rdfs:label,CHIME syndrome,en,es,síndrome CHIME,1
DOID:0112153,rdfs:label,hypomyelinating leukodystrophy 20,en,es,leucodistrofia hipomielinizante 20,1
DOID:0112154,rdfs:label,inflammatory bowel disease 30,en,es,enfermedad inflamatoria intestinal 30,1
DOID:0112155,rdfs:label,inflammatory bowel disease 29,en,es,enfermedad inflamatoria intestinal 29,1
DOID:0112156,rdfs:label,X-linked dyserythropoietic anemia,en,es,anemia diseritropoyética ligada al cromosoma X,1
DOID:0112157,rdfs:label,X-linked atrophic macular degeneration,en,es,Degeneración macular atrófica ligada al cromosoma X,1
