source_id	predicate	source_text	translation_text	translator	source_lang	translation_lang	status	auto_review_score	final_reviewer	review_notes	synonym_type	status_history
DOID:0112271	oboInOwl:hasExactSynonym	SPGF98	SPGF98	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0112271	rdfs:label	spermatogenic failure 49	fallo espermatogénico 49	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0112272	IAO:0000115	A spermatogenic failure that is characterized by azoospermia resulting from meiotic arrest at prophase I that has_material_basis_in homozygous or compound heterozygous mutation in the XRCC2 gene on chromosome 7q36.1.	El fallo espermatogénico se caracteriza por azoospermia resultante de la detención meiótica en la profase I y tiene_base_material_en una mutación homocigota o heterocigota compuesta en el gen XRCC2 en el cromosoma 7q36.1.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.68645				
DOID:0112272	oboInOwl:hasExactSynonym	SPGF50	SPGF50	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0112272	rdfs:label	spermatogenic failure 50	fallo espermatogénico 50	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0112273	IAO:0000115	A spermatogenic failure characterized by severe asthenoteratozoospermia with multiple morphologic abnormalities of the flagella resulting in reduced to absent motility that has_material_basis_in homozygous or compound heterozygous mutation in the CFAP91 gene on chromosome 3q13.33.	El fallo espermatogénico se caracteriza por astenoteratozoospermia grave con múltiples anomalías morfológicas de los flagelos que dan lugar a una motilidad reducida o ausente y tiene_base_material_en una mutación homocigota o heterocigota compuesta en el gen CFAP91 en el cromosoma 3q13.33.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.6471				
DOID:0112273	oboInOwl:hasExactSynonym	SPGF51	SPGF51	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0112273	rdfs:label	spermatogenic failure 51	fallo espermatogénico 51	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0112274	IAO:0000115	A spermatogenic failure characterized by asthenoteratozoospermia with multiple morphologic abnormalities of the flagella that has_material_basis_in hemizygous mutation in the CFAP47 gene on chromosome Xp21.1.	El fallo espermatogénico se caracteriza por astenoteratozoospermia con múltiples anomalías morfológicas de los flagelos y tiene_base_material_en una mutación hemicigótica en el gen CFAP47 en el cromosoma Xp21.1.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.65215				
DOID:0112274	oboInOwl:hasExactSynonym	SPGFX3	SPGFX3	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0112274	rdfs:label	X-linked spermatogenic failure 3	fallo espermatogénico ligado al cromosoma X 3	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.99				
DOID:0112275	IAO:0000115	A developmental and epileptic encephalopathy characterized by delayed psychomotor development, early-onset refractory seizures, and impaired intellectual development that has_material_basis_in heterozygous mutation in the ATP6V1A gene on chromosome 3q13.31.	La encefalopatía epiléptica y del desarrollo se caracteriza por un retraso en el desarrollo psicomotor,  convulsiones refractarias de aparición temprana y un desarrollo intelectual deficiente y tiene_base_material_en una mutación heterocigota en el gen ATP6V1A en el cromosoma 3q13.31.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.5799000000000001		"[JAB] translation should be reviewed; written as though it's the parent term ""El/La <parent term> se caracteriza"""		
DOID:0112275	oboInOwl:hasExactSynonym	DEE93	DEE93	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0112275	oboInOwl:hasExactSynonym	IECEE3	IECEE3	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0112275	oboInOwl:hasExactSynonym	infantile or early childhood epileptic encephalopathy 3	Encefalopatía epiléptica infantil o de la primera infancia 3	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.98				
DOID:0112275	rdfs:label	developmental and epileptic encephalopathy 93	encefalopatía epiléptica y del desarrollo 93	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.925				
DOID:0112276	IAO:0000115	A movement disease characterized by delayed psychomotor development and infantile or childhood onset of hyperkinetic involuntary movements, including chorea and athetosis that has_material_basis_in heterozygous mutation of the GNAO1 gene on chromosome 16q13.	La enfermedad del movimiento se caracteriza por un retraso en el desarrollo psicomotor y la aparición infantil o en la niñez de movimientos involuntarios hipercinéticos,  incluida la corea y la atetosis y tiene_base_material_en una mutación heterocigota del gen GNAO1 en el cromosoma 16q13.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.647		"[JAB] translation should be reviewed; written as though it's the parent term ""El/La <parent term> se caracteriza"""		
DOID:0112276	oboInOwl:hasExactSynonym	NEDIM	NEDIM	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0112276	rdfs:label	neurodevelopmental disorder with involuntary movements	trastorno del neurodesarrollo con movimientos involuntarios	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.98				
DOID:0112277	IAO:0000115	A T cell deficiency characterized by childhood onset of recurrent and recalcitrant skin warts due to uncontrolled viral infection with human papillomavirus and absence of the CD4 antigen on T cells, monocytes, and dendritic cells that has_material_basis_in homozygous or compound heterozygous mutation in CD4 on chromosome 12p13.	La deficiencia de células T se caracteriza por la aparición en la infancia de verrugas cutáneas recurrentes y recalcitrantes debidas a una infección vírica incontrolada por el virus del papiloma humano y la ausencia del antígeno CD4 en células T,  monocitos y células dendríticas y tiene_base_material_en una mutación homocigota o heterocigota compuesta en CD4 en el cromosoma 12p13.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.60795		"[JAB] translation should be reviewed; written as though it's the parent term ""El/La <parent term> se caracteriza"""		
DOID:0112277	oboInOwl:hasExactSynonym	IMD79	IMD79	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0112277	rdfs:label	immunodeficiency 79	inmunodeficiencia 79	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
