class,synonym,clase,sinónimo,class_match
http://purl.obolibrary.org/obo/DOID_0080557,congenital disorder of glycosylation 1e,http://purl.obolibrary.org/obo/DOID_0080557,trastorno congénito de la glicosilación 1e,TRUE
http://purl.obolibrary.org/obo/DOID_0080558,congenital disorder of glycosylation 1f,http://purl.obolibrary.org/obo/DOID_0080558,trastorno congénito de la glicosilación 1f,TRUE
http://purl.obolibrary.org/obo/DOID_0080559,ALG12-congenital disorder of glycosylation,http://purl.obolibrary.org/obo/DOID_0080559,ALG12-trastorno congénito de la glicosilación,TRUE
http://purl.obolibrary.org/obo/DOID_0080559,congenital disorder of glycosylation 1g,http://purl.obolibrary.org/obo/DOID_0080559,trastorno congénito de la glicosilación 1g,TRUE
http://purl.obolibrary.org/obo/DOID_0080560,congenital disorder of glycosylation 1h,http://purl.obolibrary.org/obo/DOID_0080560,trastorno congénito de la glicosilación 1h,TRUE
http://purl.obolibrary.org/obo/DOID_0080561,congenital disorder of glycosylation 1i,http://purl.obolibrary.org/obo/DOID_0080561,trastorno congénito de la glicosilación 1i,TRUE
http://purl.obolibrary.org/obo/DOID_0080562,Congenital disorder of glycosylation 1j,http://purl.obolibrary.org/obo/DOID_0080562,Trastorno congénito de la glicosilación 1j,TRUE
http://purl.obolibrary.org/obo/DOID_0080563,congenital disorder of glycosylation 1k,http://purl.obolibrary.org/obo/DOID_0080563,trastorno congénito de la glicosilación 1k,TRUE
http://purl.obolibrary.org/obo/DOID_0080564,congenital disorder of glycosylation 1l,http://purl.obolibrary.org/obo/DOID_0080564,trastorno congénito de la glicosilación 1l,TRUE
http://purl.obolibrary.org/obo/DOID_0080565,DOLK-congenital disorder of glycosylation,http://purl.obolibrary.org/obo/DOID_0080565,DOLK-trastorno congénito de la glicosilación,TRUE
http://purl.obolibrary.org/obo/DOID_0080565,congenital disorder of glycosylation 1m,http://purl.obolibrary.org/obo/DOID_0080565,trastorno congénito de la glicosilación 1m,TRUE
http://purl.obolibrary.org/obo/DOID_0080565,dolichol kinase deficiency,http://purl.obolibrary.org/obo/DOID_0080565,deficiencia de dolicol quinasa,TRUE
http://purl.obolibrary.org/obo/DOID_0080566,congenital disorder of glycosylation 1n,http://purl.obolibrary.org/obo/DOID_0080566,trastorno congénito de la glicosilación 1n,TRUE
http://purl.obolibrary.org/obo/DOID_0080567,congenital disorder of glycosylation 1p,http://purl.obolibrary.org/obo/DOID_0080567,trastorno congénito de la glicosilación 1p,TRUE
http://purl.obolibrary.org/obo/DOID_0080568,congenital disorder of glycosylation 1q,http://purl.obolibrary.org/obo/DOID_0080568,trastorno congénito de la glicosilación 1q,TRUE
http://purl.obolibrary.org/obo/DOID_0080569,congenital disorder of glycosylation 1r,http://purl.obolibrary.org/obo/DOID_0080569,trastorno congénito de la glicosilación 1r,TRUE
http://purl.obolibrary.org/obo/DOID_0080570,congenital disorder of glycosylation 1t,http://purl.obolibrary.org/obo/DOID_0080570,trastorno congénito de la glicosilación 1t,TRUE
http://purl.obolibrary.org/obo/DOID_0080571,congenital disorder of glycosylation 1u,http://purl.obolibrary.org/obo/DOID_0080571,trastorno congénito de la glicosilación 1u,TRUE
http://purl.obolibrary.org/obo/DOID_0080572,congenital disorder of glycosylation 1w,http://purl.obolibrary.org/obo/DOID_0080572,trastorno congénito de la glicosilación 1w,TRUE
