clase, syn,,,,
http://purl.obolibrary.org/obo/DOID_0070263,TMEM165-CDG,,,,
http://purl.obolibrary.org/obo/DOID_0070264,CDG IIl,,,,
http://purl.obolibrary.org/obo/DOID_0070264,síndrome CDG tipo IIL,,,,
http://purl.obolibrary.org/obo/DOID_0070264,CDG2L,,,,
http://purl.obolibrary.org/obo/DOID_0070264,CDGIIdl,,,,
http://purl.obolibrary.org/obo/DOID_0070264,COG6-CGD,,,,
http://purl.obolibrary.org/obo/DOID_0070264,Trastorno congénito de la glicosilación tipo 2l,,,,
http://purl.obolibrary.org/obo/DOID_0070265,SLC35A2-CDG,,,,
http://purl.obolibrary.org/obo/DOID_0070265,trastorno congénito de la glicosilación tipo 2m,,,,
http://purl.obolibrary.org/obo/DOID_0070265,encefalopatía del desarrollo y epiléptica 22,,,,
http://purl.obolibrary.org/obo/DOID_0070265,“encefalopatía epiléptica, infantil temprana, 22”,,
http://purl.obolibrary.org/obo/DOID_0070266,CDG IIn,,,,
http://purl.obolibrary.org/obo/DOID_0070266,síndrome CDG tipo IIn,,,,
http://purl.obolibrary.org/obo/DOID_0070266,CDG2N,,,,
http://purl.obolibrary.org/obo/DOID_0070266,CDGIIdn,,,,
http://purl.obolibrary.org/obo/DOID_0070266,Síndrome de glucoproteína deficiente en carbohidratos tipo IIn,,,,
http://purl.obolibrary.org/obo/DOID_0070266,Trastorno congénito de la glicosilación tipo 2n,,,,
http://purl.obolibrary.org/obo/DOID_0070266,SLC39A8-CDG,,,,
http://purl.obolibrary.org/obo/DOID_0070267,CCDC115-CDG,,,,
http://purl.obolibrary.org/obo/DOID_0070267,CDG IIo,,,,
http://purl.obolibrary.org/obo/DOID_0070267,síndrome CDG tipo IIo,,,,
http://purl.obolibrary.org/obo/DOID_0070267,CDG2O,,,,
http://purl.obolibrary.org/obo/DOID_0070267,CDGIIdo,,,,
http://purl.obolibrary.org/obo/DOID_0070267,Síndrome de glucoproteína deficiente en carbohidratos tipo IIo,,,,
http://purl.obolibrary.org/obo/DOID_0070267,Trastorno congénito de la glicosilación tipo 2o,,,,
http://purl.obolibrary.org/obo/DOID_0070268,CDG IIp,,,,
http://purl.obolibrary.org/obo/DOID_0070268,síndrome CDG tipo IIp,,,,
http://purl.obolibrary.org/obo/DOID_0070268,CDG2P,,,,
http://purl.obolibrary.org/obo/DOID_0070268,CDGIIdp,,,,
http://purl.obolibrary.org/obo/DOID_0070268,Síndrome de glucoproteína deficiente en carbohidratos tipo IIp,,,,
http://purl.obolibrary.org/obo/DOID_0070268,Trastorno congénito de la glicosilación tipo 2p,,,,
http://purl.obolibrary.org/obo/DOID_0070268,TMEM199-CDG,,,,
http://purl.obolibrary.org/obo/DOID_0070269,CDG IIq,,,,
http://purl.obolibrary.org/obo/DOID_0070269,CDG2Q,,,,
http://purl.obolibrary.org/obo/DOID_0070269,CDGIIdq,,,,
http://purl.obolibrary.org/obo/DOID_0070269,COG2-CDG,,,,
http://purl.obolibrary.org/obo/DOID_0070269,trastorno congénito de la glicosilación relacionado con COG2,,,,
http://purl.obolibrary.org/obo/DOID_0070277,MCPH15,,,,
http://purl.obolibrary.org/obo/DOID_0070277,NEDMISBA,,,,
http://purl.obolibrary.org/obo/DOID_0070277,“trastorno del neurodesarrollo con microcefalia progresiva, espasticidad y anomalías en la imagen cerebral”,,,
http://purl.obolibrary.org/obo/DOID_0070296,MCPH,,,,
